"TAXONOMIC.ORDER","SCIENTIFIC.NAME","COMMON.NAME","STATUS","COUNT","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
2866,"Chlamydotis macqueenii","Macqueen's Bustard","Sporadic",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3055,"Centropus sinensis","Greater Coucal","Regular",20,11,34,16,48,121,101,182,136,115,148,113,136,1417,3929,6383,8843,9974,11595,17794,15298
3074,"Centropus bengalensis","Lesser Coucal","Sporadic",17,0,1,0,0,2,1,4,1,4,1,1,1,36,33,69,71,126,156,169,210
3100,"Taccocua leschenaultii","Sirkeer Malkoha","Sporadic",12,0,0,0,0,0,0,0,1,1,0,3,1,5,6,10,2,1,6,6,14
3115,"Phaenicophaeus viridirostris","Blue-faced Malkoha","Regular",20,2,2,2,1,12,6,13,16,2,15,22,11,78,115,141,217,193,197,341,278
3135,"Clamator coromandus","Chestnut-winged Cuckoo","Sporadic",17,0,2,4,1,3,0,4,4,0,1,2,2,6,3,3,11,7,8,13,14
3138,"Clamator jacobinus","Pied Cuckoo","Sporadic",18,3,0,1,2,0,2,1,3,5,14,6,7,59,111,233,145,190,222,277,232
3200,"Eudynamys scolopaceus","Asian Koel","Regular",20,6,12,13,49,78,69,91,74,41,63,53,92,1382,4295,5779,8078,13035,12082,16251,13693
3282,"Cacomantis sonneratii","Banded Bay Cuckoo","Sporadic",17,2,0,0,0,2,5,6,20,15,25,12,15,33,59,107,154,221,361,666,472
3293,"Cacomantis passerinus","Gray-bellied Cuckoo","Sporadic",18,0,2,2,0,4,1,6,7,5,11,10,7,37,53,97,191,139,304,228,342
3319,"Surniculus dicruroides","Fork-tailed Drongo-Cuckoo","Sporadic",19,2,2,2,0,6,3,6,13,14,9,17,17,47,59,75,107,145,152,179,185
3333,"Hierococcyx sparverioides","Large Hawk-Cuckoo","Sporadic",16,0,0,0,0,4,2,3,3,1,2,2,1,6,4,14,6,4,3,8,3
3336,"Hierococcyx varius","Common Hawk-Cuckoo","Regular",20,6,10,6,5,29,10,65,61,21,56,39,63,370,807,1395,1699,1849,2372,2543,3091
3349,"Cuculus poliocephalus","Lesser Cuckoo","Sporadic",9,1,1,1,0,0,0,0,0,0,0,0,1,0,0,7,1,1,0,5,4
3351,"Cuculus micropterus","Indian Cuckoo","Regular",20,1,3,1,1,5,2,16,11,2,10,8,3,58,122,122,166,127,235,161,166
3359,"Cuculus canorus","Common Cuckoo","Sporadic",10,0,0,0,0,0,0,1,0,1,0,0,0,2,5,53,55,78,40,200,49
3391,"Batrachostomus moniliger","Sri Lanka Frogmouth","Regular",20,3,3,6,2,11,11,18,17,22,27,36,40,90,130,139,170,192,297,187,177
3413,"Lyncornis macrotis","Great Eared-Nightjar","Sporadic",19,1,1,3,0,5,3,13,14,11,10,6,16,26,31,23,51,74,181,74,73
3581,"Caprimulgus indicus","Jungle Nightjar","Sporadic",18,1,4,2,0,3,5,6,5,0,4,6,3,17,18,60,87,78,135,98,115
3624,"Caprimulgus atripennis","Jerdon's Nightjar","Sporadic",19,2,2,4,0,9,6,6,17,6,10,9,17,33,45,90,180,223,338,464,379
3643,"Caprimulgus asiaticus","Indian Nightjar","Sporadic",17,1,1,1,0,1,1,0,0,1,1,2,1,11,8,28,46,40,75,75,59
3656,"Caprimulgus affinis","Savanna Nightjar","Sporadic",16,0,1,2,0,0,1,3,2,1,3,0,1,7,6,30,56,111,118,112,90
3775,"Zoonavena sylvatica","White-rumped Needletail","Sporadic",19,3,13,7,0,21,12,30,20,25,36,32,22,38,82,92,160,128,128,118,151
3835,"Hirundapus giganteus","Brown-backed Needletail","Sporadic",18,2,3,0,0,11,5,18,17,18,24,16,19,32,81,87,113,85,145,241,247
3894,"Aerodramus unicolor","Indian Swiftlet","Regular",20,6,40,5,1,54,59,69,47,82,97,55,69,121,296,581,685,590,826,715,713
3985,"Apus melba","Alpine Swift","Regular",20,1,6,1,3,13,20,17,15,11,17,15,10,31,72,110,169,221,366,231,249
4002,"Apus apus","Common Swift","Sporadic",4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
4038,"Apus leuconyx","Blyth's Swift","Sporadic",16,0,1,1,0,2,5,7,1,4,1,0,2,0,8,9,21,2,12,31,25
4043,"Apus affinis","Little Swift","Regular",20,3,8,5,4,17,12,32,24,24,36,31,24,96,237,448,1007,914,1265,1627,1482
4078,"Cypsiurus balasiensis","Asian Palm-Swift","Regular",20,2,9,7,10,29,18,45,53,15,43,25,35,306,995,1813,2338,2138,2763,5168,4355
4105,"Hemiprocne coronata","Crested Treeswift","Sporadic",19,2,17,8,0,19,12,30,22,24,22,17,22,85,106,128,217,164,130,212,277
5188,"Lewinia striata","Slaty-breasted Rail","Sporadic",11,2,0,0,0,0,0,0,0,0,0,1,1,7,18,30,48,21,75,77,72
5314,"Porzana porzana","Spotted Crake","Sporadic",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
5321,"Gallinula chloropus","Eurasian Moorhen","Regular",20,4,5,8,4,13,8,7,7,4,6,17,8,90,91,198,361,209,232,282,250
5346,"Fulica atra","Eurasian Coot","Regular",20,8,9,17,3,9,13,3,10,11,6,32,43,211,164,317,605,271,400,334,198
5390,"Porphyrio poliocephalus","Gray-headed Swamphen","Regular",20,8,25,23,16,42,35,15,26,19,29,62,93,732,1405,1543,1798,1978,2276,1885,1947
5404,"Gallicrex cinerea","Watercock","Regular",20,3,2,13,2,3,4,1,5,3,4,8,21,111,165,184,317,172,271,271,296
